player_name,season,injury,from_date,to_date,days_out,matches_missed
Josh Vickers,23/24,Thigh problems,"Feb 7, 2024","Apr 1, 2024",55 days,11
Nat Phillips,24/25,Calf injury,"Jan 15, 2025","Feb 5, 2025",22 days,4
Nat Phillips,21/22,Broken cheekbone,"Dec 8, 2021","Jan 22, 2022",46 days,10
Nat Phillips,19/20,Knock,"Jun 19, 2020","Jun 23, 2020",5 days,1
Nat Phillips,19/20,angina,"Dec 18, 2019","Dec 25, 2019",8 days,1
Matt Clarke,22/23,Back problems,"Oct 1, 2022","May 1, 2023",213 days,36
Curtis Nelson,24/25,Torn knee ligaments,"Jan 19, 2025",,69 days,11
Curtis Nelson,21/22,Calf injury,"Jan 28, 2022","Apr 1, 2022",64 days,13
Curtis Nelson,17/18,Achilles tendon rupture,"Nov 11, 2017","Apr 9, 2018",150 days,27
Jake Rooney,24/25,Knee injury,"Jul 19, 2024","Oct 23, 2024",97 days,13
Jake Rooney,23/24,Cruciate ligament tear,"Sep 3, 2023","Jun 30, 2024",302 days,47
Callum Elder,24/25,Groin injury,"Jan 26, 2025","Feb 5, 2025",11 days,1
Callum Elder,24/25,Groin injury,"Sep 22, 2024","Oct 16, 2024",25 days,3
Callum Elder,23/24,Groin injury,"Mar 27, 2024","Apr 25, 2024",30 days,5
Callum Elder,23/24,ankle sprain,"Feb 26, 2024","Mar 14, 2024",18 days,4
Callum Elder,23/24,ankle sprain,"Nov 8, 2023","Dec 11, 2023",34 days,7
Callum Elder,23/24,Inguinal hernia,"Sep 20, 2023","Nov 5, 2023",47 days,10
Callum Elder,22/23,Thigh problems,"Oct 9, 2022","Oct 24, 2022",16 days,4
Craig Forsyth,23/24,Calf injury,"Mar 20, 2024","Jun 1, 2024",74 days,7
Craig Forsyth,23/24,Calf muscle tear,"Jan 7, 2024","Mar 10, 2024",64 days,13
Craig Forsyth,18/19,Cruciate ligament tear,"Nov 11, 2018","Sep 12, 2019",306 days,44
Craig Forsyth,16/17,Knee injury,"Aug 20, 2016","Jun 30, 2017",315 days,48
Craig Forsyth,15/16,Cruciate ligament tear,"Nov 4, 2015","May 31, 2016",210 days,35
Ryan Nyambe,24/25,Hamstring injury,"Mar 7, 2025",,22 days,3
Ryan Nyambe,24/25,Torn knee ligaments,"Oct 20, 2024","Jan 22, 2025",95 days,19
Ryan Nyambe,23/24,Torn thigh muscle,"Feb 28, 2024","May 31, 2024",94 days,11
Ryan Nyambe,23/24,Groin injury,"Nov 29, 2023","Dec 25, 2023",27 days,4
Kane Wilson,24/25,Hamstring injury,"Jan 22, 2025",,66 days,10
Kane Wilson,24/25,Hamstring injury,"Aug 18, 2024","Sep 25, 2024",39 days,5
Kane Wilson,23/24,Hamstring injury,"Aug 16, 2023","Sep 13, 2023",29 days,3
David Ozoh,24/25,Torn thigh muscle,"Feb 23, 2025","May 31, 2025",98 days,12
David Ozoh,24/25,Hamstring injury,"Sep 15, 2024","Jan 24, 2025",132 days,24
Liam Thompson,24/25,Groin strain,"Sep 12, 2024","Oct 24, 2024",43 days,7
Liam Thompson,23/24,Hamstring strain,"Aug 31, 2023","Dec 19, 2023",111 days,21
Liam Thompson,22/23,Hip flexor problems,"Apr 2, 2023","May 10, 2023",39 days,5
Ben Osborn,20/21,Knock,"Jan 13, 2021","Feb 6, 2021",25 days,5
Ebou Adams,24/25,concussion,"Jan 2, 2025","Jan 13, 2025",12 days,1
Ebou Adams,22/23,Knee injury,"Dec 8, 2022","May 10, 2023",154 days,29
Ebou Adams,22/23,Tendon tear,"Jul 10, 2022","Dec 7, 2022",151 days,23
Ebou Adams,21/22,Corona virus,"Dec 30, 2021","Jan 5, 2022",7 days,2
Jeff Hendrick,23/24,unknown injury,"Dec 5, 2023","Mar 28, 2024",115 days,24
Jeff Hendrick,20/21,Ill,"Dec 23, 2020","Dec 29, 2020",7 days,1
Jeff Hendrick,17/18,Hamstring strain,"Aug 20, 2017","Sep 18, 2017",30 days,6
Jeff Hendrick,15/16,Leg injury,"Aug 19, 2015","Aug 27, 2015",9 days,1
Jeff Hendrick,14/15,Ligament injury,"Aug 31, 2014","Sep 29, 2014",30 days,12
Jeff Hendrick,13/14,Hip problems,"Apr 7, 2014","Apr 11, 2014",5 days,1
Jeff Hendrick,13/14,Ankle sprain,"Jan 26, 2014","Jan 30, 2014",5 days,1
Jeff Hendrick,13/14,concussion,"Dec 23, 2013","Dec 31, 2013",9 days,2
Jeff Hendrick,13/14,Virus,"Nov 22, 2013","Nov 25, 2013",4 days,1
Jeff Hendrick,13/14,Ankle injury,"Aug 25, 2013","Nov 19, 2013",87 days,36
Joe Ward,23/24,Knee surgery,"Apr 3, 2024","Aug 12, 2024",132 days,5
Joe Ward,23/24,Groin injury,"Jan 11, 2024","Jan 14, 2024",4 days,-
Joe Ward,23/24,Heel problems,"Aug 16, 2023","Oct 26, 2023",72 days,12
Corey Blackett-Taylor,24/25,Hamstring injury,"Jan 26, 2025",,62 days,9
Tom Barkhuizen,24/25,Calf strain,"Sep 12, 2024","Nov 5, 2024",55 days,9
Tom Barkhuizen,23/24,Calf injury,"Mar 17, 2024","Apr 8, 2024",23 days,3
Tom Barkhuizen,23/24,Calf problems,"Jul 9, 2023","Sep 1, 2023",55 days,6
