player_name,date_of_birth/age,height,position
Yassine Kechta,Feb 25 2002 (23),174 m,Central Midfield
Daler Kuzyaev,Jan 15 1993 (32),182 m,Central Midfield
Mahamadou Diawara,Feb 17 2005 (20),187 m,Central Midfield
Ismaïl Bouneb,Jun 7 2006 (18),182 m,Attacking Midfield
Antoine Joujou,Mar 12 2003 (22),189 m,Left Winger
Issa Soumaré,Oct 10 2000 (24),182 m,Left Winger
Josué Casimir,Sep 24 2001 (23),178 m,Right Winger
Ruben Londja,Jun 10 2006 (18),179 m,Right Winger
Ilyes Housni,May 14 2005 (19),172 m,Centre-Forward
Ahmed Hassan,Mar 5 1993 (32),191 m,Centre-Forward
André Ayew,Dec 17 1989 (35),175 m,Centre-Forward
Elysée Logbo,May 6 2004 (20),188 m,Centre-Forward
Yann Kitala,Apr 9 1998 (26),186 m,Centre-Forward
Donovan Léon,Nov 3 1992 (32),187 m,Goalkeeper
Théo De Percin,Feb 2 2001 (24),185 m,Goalkeeper
Raphaël Adiceam,Jul 3 1990 (34),179 m,Goalkeeper
Tom Negrel,Apr 13 2003 (21),192 m,Goalkeeper
Sinaly Diomandé,Apr 9 2001 (23),184 m,Centre-Back
Gabriel Osho,Aug 14 1998 (26),185 m,Centre-Back
Clément Akpa,Nov 24 2001 (23),181 m,Centre-Back
Jubal,Aug 29 1993 (31),190 m,Centre-Back
Gideon Mensah,Jul 18 1998 (26),178 m,Left-Back
Fredrik Oppegård,Aug 7 2002 (22),175 m,Left-Back
Ki-Jana Hoever,Jan 18 2002 (23),183 m,Right-Back
Paul Joly,Jun 7 2000 (24),182 m,Right-Back
Ange Loïc N'Gatta,Dec 11 2003 (21),175 m,Right-Back
Elisha Owusu,Nov 7 1997 (27),182 m,Defensive Midfield
Assane Dioussé,Sep 20 1997 (27),175 m,Defensive Midfield
Nathan Buayi-Kiala,Feb 29 2004 (21),177 m,Defensive Midfield
Han-Noah Massengo,Jul 7 2001 (23),178 m,Central Midfield
Kévin Danois,Jun 28 2004 (20),183 m,Central Midfield
Hamed Junior Traoré,Feb 16 2000 (25),177 m,Attacking Midfield
Ben Viadere,Sep 2 2005 (19),176 m,Attacking Midfield
